date,open,high,low,close,volume
2020-01-02,71.4765996590847,72.52858156247073,71.22325926076245,72.46826171875,135480400
2020-01-03,71.69614448126268,72.52373073569198,71.53931440462966,71.76370239257812,146322800
2020-01-06,70.88547194642054,72.3741616151194,70.63453932655295,72.33555603027344,118387200
2020-01-07,72.34521202863968,72.60096759515153,71.7757961977681,71.995361328125,108872000
2020-01-08,71.69858889981313,73.4551026743299,71.69858889981313,73.15350341796875,132079200
2020-01-09,74.13069787841037,74.90037993391,73.8797725451346,74.70735931396484,170108400
2020-01-10,74.94138611501243,75.4408362602049,74.37437802964394,74.87623596191406,140644800
2020-01-13,75.19231323252647,76.50245856347271,75.07408132346671,76.47591400146484,121532000
2020-01-14,76.41317742986432,76.62308929816353,75.32018220682278,75.44322967529297,161954400
2020-01-15,75.24298130114484,76.12364962606802,74.68803427101611,75.11992645263672,121923600
2020-01-16,75.66280356227105,76.17190690767254,75.30088447470833,76.0609130859375,108829200
2020-01-17,76.30943957331336,76.90540003571786,76.00301736044453,76.90299224853516,137816400
2020-01-21,76.53139743845387,76.97293540809704,76.24427442355741,76.38180541992188,110843200
2020-01-22,76.86679969961068,77.20700458892972,76.56037746579443,76.65447998046875,101832400
2020-01-23,76.70756039684032,77.10325483712239,76.15985137274346,77.02363586425781,104472000
2020-01-24,77.26971830945405,78.01285552986269,76.61102297800898,76.8016357421875,146537600
2020-01-27,74.81109818347939,75.22368393993314,73.56127252486844,74.54328155517578,161940000
2020-01-28,75.42393505290065,76.82335250031947,75.32500962430629,76.65204620361328,162234000
2020-01-29,78.28309821074268,79.103446634538,77.54236874294361,78.25655364990234,216229200
2020-01-30,77.33970834921887,78.19624735599628,76.90781612011679,78.1431655883789,126743200
2020-01-31,77.43380507723946,77.85604407632879,74.38403693557139,74.67839813232422,199588400
2020-02-03,73.42131515382538,75.63867332859459,72.91945726436026,74.47329711914062,173788400
2020-02-04,76.07779948888638,77.12254331082424,75.67245190422207,76.93193054199219,136616400
2020-02-05,78.0587155711189,78.35790705994806,76.95607421407713,77.55927276611328,118826800
2020-02-06,77.82949504667184,78.46888396119307,77.27214024163042,78.46646881103516,105425600
2020-02-07,77.96581213428415,78.21491934817361,76.90892029107607,77.3998794555664,117684000
2020-02-10,75.98506881434587,77.76751708984375,75.90526089218041,77.76751708984375,109348800
2020-02-11,78.26331921379253,78.33587187126635,77.08065923180118,77.29832458496094,94323200
2020-02-12,77.7481726332658,79.13882181030785,77.7481726332658,79.13398742675781,113730400
2020-02-13,78.40599987113015,78.8969591321478,78.20284507837152,78.5704574584961,94747600
2020-02-14,78.53902662089303,78.8389281598991,78.08193011775062,78.5898208618164,80113600
2020-02-18,76.27045762281409,77.33219164665964,76.08906858845916,77.15080261230469,152531200
2020-02-19,77.39263964512776,78.49790505143669,77.39263964512776,78.26814270019531,93984000
2020-02-20,78.0287063254119,78.51724467318775,76.95971731481961,77.4651870727539,100566000
2020-02-21,77.05890210716204,77.50149550977896,75.09506456264181,75.71178436279297,129554000
2020-02-24,71.8929330165793,73.56654484289926,69.950861613102,72.11543273925781,222195200
2020-02-25,72.7853633450679,73.16748626275555,69.20111488480276,69.67272186279297,230673600
2020-02-26,69.29785906555418,72.04288097148186,69.29060380017634,70.77799224853516,198054800
2020-02-27,67.98460978013814,69.16968329754985,66.015930635838,66.1513671875,320605600
2020-02-28,62.21885173263986,67.3340203730767,62.00359989656375,66.11266326904297,426510000
