date,open,high,low,close,volume
2020-01-02,150.75867946961716,152.61016559599886,150.33141566936578,152.50572204589844,22622100
2020-01-03,150.32187193960533,151.8695164582388,150.07499755302646,150.60670471191406,21116200
2020-01-06,149.14451665528264,151.06247283904833,148.60330538796924,150.99600219726562,20813700
2020-01-07,151.27139620215743,151.6037060270749,149.37243324398585,149.61929321289062,21634100
2020-01-08,150.9010700366723,152.67661008398238,149.97058233307885,152.00247192382812,27746500
2020-01-09,153.66405788565248,154.0248654340376,152.89498031182998,153.90142822265625,21385000
2020-01-10,154.59454321052573,154.97432991321804,153.03738006085885,153.18930053710938,20725900
2020-01-13,153.5880953510529,155.0597943161375,153.1133546841182,155.03131103515625,21626500
2020-01-14,155.13570243530995,155.33509982311594,153.5500708790776,153.93936157226562,23477400
2020-01-15,154.40464836712493,155.65797066977998,154.35718589124411,154.9363555908203,21417900
2020-01-16,156.04726580624668,157.84178497982282,155.74342481976777,157.7753143310547,23865400
2020-01-17,158.96216695443158,159.00964391984007,157.07269383948528,158.65834045410156,34371700
2020-01-21,158.259522712177,159.69324862590065,158.0221524073018,158.088623046875,29517200
2020-01-22,158.94317117317047,159.0286355049522,157.3100621026329,157.3290557861328,24138800
2020-01-23,157.79429196341795,158.37347610803346,156.9207709480515,158.29751586914062,19680800
2020-01-24,159.04762811314887,159.06662179825054,156.14221727387803,156.70240783691406,24918100
2020-01-27,153.00892947269364,155.12628353197823,152.10692499513692,154.08184814453125,32078100
2020-01-28,155.50602982130422,157.38599854121892,154.83190628235468,157.10116577148438,24899900
2020-01-29,159.36094890964196,160.22498042935823,157.3195697689756,159.55084228515625,34754500
2020-01-30,165.25722163927998,165.25722163927998,162.16190335753365,164.05137634277344,51597500
2020-01-31,163.51015584503386,163.69054509436427,161.0130157747917,161.6301727294922,36142700
2020-02-03,161.82012367565108,165.6845203010666,161.7916403899352,165.57058715820312,30107000
2020-02-04,168.1911336080325,171.51431848810714,167.4030623122053,171.0205841064453,36433300
2020-02-05,174.7330539466545,174.89446403969472,169.3969733266185,170.8116912841797,39186300
